"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","10","1292-0603X106M100CT-ND","0603X106M100CT","CAP CER 10UF 10V X5R 0603","","10","0","0.06500","0.65"
"2","1","478-KGM15BR51A475MTCT-ND","0603ZD475MAT2A","CAP CER 4.7?F 10V X5R 0603","","1","0","1.04000","1.04"
"3","12","732-8013-1-ND","885012206095","CAP CER 0.1UF 50V X7R 0603","","12","0","0.04500","0.54"
"4","4","490-1411-1-ND","GRM1885C1H220JA01D","CAP CER 22PF 50V C0G/NP0 0603","","4","0","0.15000","0.60"
"5","4","490-16342-1-ND","GRM1885C1H1R0WA01D","CAP CER 1PF 50V C0G/NP0 0603","","4","0","0.30000","1.20"
"6","1","732-5355-ND","61301421021","CONN HEADER R/A 14POS 2.54MM","","1","0","1.50000","1.50"
"7","1","490-7784-1-ND","LQM2MPN1R0NG0L","FIXED IND 1UH 1.4A 107 MOHM SMD","","1","0","0.26000","0.26"
"8","1","490-LQP03TG3N9B02DCT-ND","LQP03TG3N9B02D","FIXED IND 3.9NH 350MA 350 MOHM","","1","0","0.15000","0.15"
"9","1","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","","1","0","1.20000","1.20"
"10","1","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","1","0","0.16000","0.16"
"11","1","311-2.00KHRCT-ND","RC0603FR-072KL","RES 2K OHM 1% 1/10W 0603","","1","0","0.16000","0.16"
"12","1","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","1","0","0.16000","0.16"
"13","1","311-22.0KHRCT-ND","RC0603FR-0722KL","RES 22K OHM 1% 1/10W 0603","","1","0","0.16000","0.16"
"14","1","311-56KHRCT-ND","RC0603FR-0756KL","RES 56K OHM 1% 1/10W 0603","","1","0","0.16000","0.16"
"15","2","311-4.70KHRCT-ND","RC0603FR-074K7L","RES 4.7K OHM 1% 1/10W 0603","","2","0","0.16000","0.32"
"16","1","EG1903-ND","EG1218","SWITCH SLIDE SPDT 200MA 30V","","1","0","1.08000","1.08"
"17","1","296-35718-1-ND","CC1101RGPR","IC RF TXRX ISM<1GHZ 20QFN","","1","0","6.46000","6.46"
"18","1","5407-ESP32-S3-MINI-1-N8CT-ND","ESP32-S3-MINI-1-N8","RF TXRX MODULE BT PCB TRACE SMD","","1","0","8.68000","8.68"
"19","1","MAX17048G+T10CT-ND","MAX17048G+T10","IC BATT MON LI-ION 1CELL 8TDFN","","1","0","6.75000","6.75"
"20","1","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OT","IC BATT CNTL LI-ION 1CEL SOT23-5","","1","0","1.22000","1.22"
"21","2","535-9134-1-ND","ABM8-16.000MHZ-B2-T","CRYSTAL 16.0000MHZ 18PF SMD","","2","0","0.83000","1.66"
"22","2","644-STDCSQ1-26MCT-ND","STDCSQ1-26M","CRYSTAL 26.0000MHZ 10PF SMD","","2","0","1.44000","2.88"
"23","1","4823-NRF24L01P-R7CT-ND","NRF24L01P-R7","IC RF TXRX ISM>1GHZ 20QFN","","1","0","6.81000","6.81"
"24","2","357-CON-SMA-EDGE-ND","CON-SMA-EDGE","CIRCULAR COAXIAL SUB-MINITURE","","2","0","3.35000","6.70"
"25","1","296-12719-1-ND","TPS62203DBVT","IC REG BUCK 3.3V 300MA SOT23-5","","1","0","2.88000","2.88"
"26","2","490-14914-1-ND","LQP03TQ12NH02D","FIXED IND 12NH 250MA 690 MOHM","","2","0","0.16000","0.32"
"27","2","490-6716-1-ND","LQP03TN1N2B02D","FIXED IND 1.2NH 750MA 100 MOHM","","2","0","0.15000","0.30"

